2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-27 23:53:27,127 INFO     Read status: {'command': 'image', 'current_well': 'A2'}
2020-02-27 23:53:27,128 INFO     AutoImage script initialized in False
2020-02-27 23:53:27,129 INFO     Read status: {'command': 'image', 'current_well': 'A2'}
2020-02-27 23:53:27,160 INFO     New image found at: Test
2020-02-27 23:53:27,161 INFO     Template image: \$Recycle.Bin
2020-02-27 23:53:27,162 INFO     New image: Test
2020-02-27 23:53:27,179 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:53:27,181 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:53:27,181 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:53:27,182 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:53:27,183 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:53:28,229 ERROR    Pause button not found.
2020-02-27 23:53:43,614 INFO     Read status: {'command': 'image', 'current_well': 'A2'}
2020-02-27 23:53:43,615 INFO     AutoImage script initialized in False
2020-02-27 23:53:43,616 INFO     Read status: {'command': 'image', 'current_well': 'A2'}
2020-02-27 23:53:43,645 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:53:43,647 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:53:43,648 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:53:43,648 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:53:43,649 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:53:44,733 ERROR    Pause button not found.
2020-02-27 23:53:46,617 INFO     Read status: {'command': 'image', 'current_well': 'A2'}
2020-02-27 23:53:46,649 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:53:46,651 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:53:46,651 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:53:46,652 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:53:46,653 DEBUG    STREAM b'IDAT' 91 1502
